image lefteye_x lefteye_y righteye_x righteye_y nose_x nose_y leftmouth_x leftmouth_y rightmouth_x rightmouth_y
162963.jpg 93 102 133 101 112 125 91 141 133 142 
162964.jpg 93 101 132 101 116 130 96 142 129 142 
162965.jpg 94 99 130 102 117 122 97 142 130 144 
162966.jpg 95 100 130 101 111 123 99 143 126 144 
162967.jpg 94 99 130 102 100 130 98 143 130 143 
162968.jpg 96 101 130 100 108 121 97 144 127 144 
162969.jpg 92 102 133 102 112 127 91 140 134 141 
162970.jpg 91 102 133 102 114 127 91 141 134 140 
162971.jpg 92 103 134 101 112 115 95 140 128 142 
162972.jpg 92 102 133 102 112 125 93 141 131 141 
162973.jpg 94 100 131 101 125 119 98 145 128 141 
162974.jpg 92 102 133 102 111 132 90 141 135 141 
162975.jpg 93 101 132 102 119 125 93 143 133 141 
162976.jpg 94 100 130 101 120 125 99 144 126 143 
162977.jpg 93 102 133 101 117 129 96 143 128 140 
162978.jpg 93 101 132 101 111 125 96 143 129 141 
162979.jpg 95 100 130 100 101 122 98 144 127 144 
162980.jpg 95 101 130 100 100 124 98 144 125 144 
162981.jpg 92 102 133 102 114 122 92 140 133 142 
162982.jpg 94 102 132 100 120 128 94 143 129 141 
162983.jpg 93 102 132 101 108 115 97 142 127 141 
162984.jpg 94 101 131 101 109 122 98 143 127 142 
162985.jpg 93 102 132 101 111 120 97 141 126 142 
162986.jpg 91 103 135 102 117 127 88 141 135 138 
162987.jpg 91 102 134 102 112 115 96 141 129 140 
162988.jpg 92 102 133 101 113 129 91 141 134 142 
162989.jpg 92 102 133 102 119 127 90 141 135 140 
162990.jpg 92 101 132 102 115 122 93 141 133 142 
162991.jpg 93 101 131 101 112 121 98 142 128 143 
162992.jpg 92 101 133 102 118 125 96 141 129 141 
162993.jpg 95 100 130 101 122 124 99 144 126 143 
162994.jpg 93 102 132 101 112 126 96 142 128 142 
162995.jpg 91 102 134 102 108 123 94 140 131 141 
162996.jpg 94 102 131 100 112 125 96 143 128 142 
162997.jpg 92 102 133 102 120 130 90 141 135 140 
162998.jpg 95 100 130 100 94 119 99 142 126 146 
162999.jpg 94 101 132 101 113 124 98 142 127 143 
163000.jpg 93 100 131 102 114 116 97 143 129 142 
163001.jpg 93 101 132 102 109 124 92 142 134 141 
163002.jpg 95 101 131 101 105 118 99 143 126 143 
163003.jpg 90 102 134 103 114 129 89 140 137 140 
163004.jpg 94 100 131 101 107 131 98 143 128 143 
163005.jpg 93 101 132 101 118 124 97 142 128 143 
163006.jpg 91 101 133 103 114 121 97 140 129 141 
163007.jpg 92 102 133 101 123 127 93 141 132 142 
163008.jpg 93 101 131 102 106 120 98 142 128 143 
163009.jpg 92 101 132 102 114 130 94 142 132 141 
163010.jpg 98 103 130 97 130 129 91 149 128 141 
163011.jpg 96 101 130 99 111 123 102 145 122 144 
163012.jpg 93 100 131 102 119 122 96 143 130 141 
163013.jpg 94 103 132 99 123 124 90 143 132 141 
163014.jpg 94 101 132 101 118 128 95 142 129 142 
163015.jpg 93 101 131 101 115 127 95 141 131 143 
163016.jpg 91 102 134 102 110 124 93 140 132 140 
163017.jpg 93 101 132 101 113 124 94 142 131 142 
163018.jpg 93 101 132 102 109 127 96 143 130 141 
163019.jpg 93 102 132 101 100 125 95 141 129 143 
163020.jpg 92 103 134 101 111 124 89 141 134 139 
163021.jpg 97 100 128 99 123 126 102 147 122 143 
163022.jpg 92 101 133 102 112 130 95 142 131 140 
163023.jpg 93 103 133 100 123 128 90 143 132 141 
163024.jpg 92 101 132 103 108 132 92 140 135 143 
163025.jpg 93 101 131 102 116 123 101 142 125 142 
163026.jpg 93 101 131 101 114 120 96 143 129 142 
163027.jpg 94 101 131 101 106 124 97 143 128 143 
163028.jpg 93 101 132 102 110 123 96 141 129 142 
163029.jpg 93 102 133 101 111 124 89 142 135 141 
163030.jpg 93 101 131 101 115 123 98 142 128 142 
163031.jpg 94 102 131 100 107 122 98 143 126 143 
163032.jpg 93 101 131 101 104 131 94 143 131 141 
163033.jpg 93 101 132 102 112 125 98 142 128 142 
163034.jpg 92 102 133 101 110 119 94 141 130 142 
163035.jpg 96 100 129 99 131 123 97 145 127 144 
163036.jpg 95 101 131 100 109 114 96 146 128 141 
163037.jpg 95 101 130 100 113 127 96 144 129 143 
163038.jpg 92 102 133 101 115 128 91 141 133 141 
163039.jpg 93 101 131 101 114 126 98 143 128 142 
163040.jpg 92 103 134 102 113 127 89 141 135 140 
163041.jpg 93 102 132 101 110 126 96 140 129 143 
163042.jpg 96 102 130 98 101 118 97 146 124 143 
163043.jpg 93 103 134 100 102 118 90 142 132 140 
163044.jpg 92 102 133 102 102 125 93 140 132 141 
163045.jpg 91 102 134 102 115 127 89 140 136 140 
163046.jpg 93 102 133 101 109 126 94 142 130 142 
163047.jpg 93 101 132 102 111 131 96 143 129 141 
163048.jpg 94 102 132 100 111 124 95 142 128 142 
163049.jpg 91 101 133 103 107 132 90 138 137 142 
163050.jpg 94 101 131 101 116 130 94 144 132 141 
163051.jpg 94 101 131 101 117 126 98 143 127 143 
163052.jpg 94 101 131 101 109 123 98 142 128 143 
163053.jpg 94 101 132 101 112 126 97 142 127 143 
163054.jpg 93 102 132 101 113 127 98 141 126 142 
163055.jpg 93 102 132 101 119 124 99 141 126 142 
163056.jpg 92 102 133 101 117 132 90 142 133 140 
163057.jpg 95 100 130 100 124 127 98 144 127 143 
163058.jpg 94 101 131 101 112 128 96 143 130 142 
163059.jpg 94 100 130 101 129 116 96 145 130 142 
163060.jpg 94 102 132 100 116 129 94 142 129 143 
163061.jpg 92 102 133 101 110 129 90 141 135 141 
163062.jpg 92 101 133 102 113 129 96 141 129 141 
163063.jpg 94 101 131 101 117 128 98 143 127 142 
163064.jpg 95 102 131 100 103 125 95 142 128 144 
163065.jpg 91 101 133 104 105 132 90 138 138 142 
163066.jpg 94 101 131 101 113 126 97 144 128 142 
163067.jpg 91 102 134 102 114 133 91 141 134 139 
163068.jpg 93 101 131 101 113 122 97 142 128 143 
163069.jpg 93 102 132 101 113 124 93 143 131 141 
163070.jpg 93 101 131 101 113 126 98 142 127 143 
163071.jpg 93 101 132 101 116 127 95 142 130 141 
163072.jpg 92 101 132 102 112 127 91 141 134 141 
163073.jpg 93 101 132 101 118 127 93 142 132 142 
163074.jpg 93 101 132 101 115 126 94 142 131 142 
163075.jpg 92 101 132 102 109 128 93 141 132 142 
163076.jpg 91 103 134 102 114 132 89 140 135 140 
163077.jpg 93 101 132 102 106 126 95 141 130 142 
163078.jpg 93 102 132 101 101 126 94 141 130 142 
163079.jpg 95 101 131 100 99 122 94 145 130 141 
163080.jpg 92 101 132 102 112 127 93 142 133 141 
163081.jpg 94 101 131 101 116 127 91 142 134 144 
163082.jpg 93 100 131 102 102 128 99 140 128 145 
163083.jpg 94 102 131 100 123 127 96 143 127 142 
163084.jpg 92 102 133 102 110 125 92 142 133 141 
163085.jpg 93 101 131 101 116 127 96 142 129 142 
163086.jpg 94 101 131 101 113 126 97 143 129 142 
163087.jpg 94 101 131 101 122 122 93 143 132 142 
163088.jpg 92 101 132 102 111 124 97 142 129 141 
163089.jpg 92 102 133 102 112 126 99 141 126 141 
163090.jpg 94 100 130 102 109 128 99 144 128 142 
163091.jpg 90 99 132 105 122 109 100 137 130 144 
163092.jpg 90 102 135 103 111 130 91 139 135 139 
163093.jpg 91 103 135 102 113 135 89 141 135 138 
163094.jpg 95 101 130 100 117 126 99 144 124 144 
163095.jpg 96 100 129 100 118 126 99 145 127 144 
163096.jpg 93 101 132 102 119 126 93 142 132 141 
163097.jpg 93 101 131 101 108 126 95 143 130 142 
163098.jpg 94 101 131 101 114 128 96 144 129 142 
163099.jpg 95 101 130 100 110 123 98 144 126 143 
163100.jpg 92 103 134 101 112 127 94 140 129 141 
163101.jpg 93 102 132 101 118 126 94 141 130 143 
163102.jpg 93 103 133 101 120 129 93 143 130 139 
163103.jpg 94 101 131 101 112 121 92 143 132 142 
163104.jpg 94 101 131 101 113 125 96 143 129 142 
163105.jpg 94 101 131 100 110 127 97 142 127 143 
163106.jpg 93 102 132 101 109 120 97 142 127 142 
163107.jpg 92 101 132 102 116 126 93 142 134 142 
163108.jpg 91 102 134 102 112 131 90 140 135 140 
163109.jpg 93 101 132 101 114 126 92 141 133 142 
163110.jpg 95 100 130 101 121 122 96 143 130 144 
163111.jpg 91 102 134 102 117 127 93 141 132 139 
163112.jpg 91 103 135 102 113 130 96 139 129 140 
163113.jpg 96 100 129 100 103 126 100 144 125 145 
163114.jpg 94 102 132 101 113 117 96 142 128 143 
163115.jpg 93 101 132 101 110 127 96 141 129 143 
163116.jpg 92 102 133 102 120 128 92 142 133 141 
163117.jpg 93 101 132 102 114 121 96 142 129 142 
163118.jpg 92 101 132 102 109 130 96 141 131 142 
163119.jpg 93 102 133 101 107 117 93 142 130 140 
163120.jpg 92 101 132 102 110 125 95 141 131 141 
163121.jpg 91 102 133 103 106 127 96 139 129 141 
163122.jpg 96 102 131 99 122 127 95 144 127 143 
163123.jpg 92 101 133 102 112 126 90 141 135 141 
163124.jpg 97 100 128 99 130 123 96 146 128 145 
163125.jpg 93 101 131 101 112 121 97 142 128 143 
163126.jpg 94 101 131 101 116 121 95 143 130 142 
163127.jpg 94 101 132 101 113 124 97 142 128 143 
163128.jpg 101 100 126 96 128 121 102 149 120 147 
163129.jpg 96 98 128 101 101 125 101 143 127 146 
163130.jpg 96 101 130 100 95 119 94 144 130 144 
163131.jpg 92 102 133 102 111 130 90 141 134 141 
163132.jpg 93 100 131 102 123 124 99 143 127 142 
163133.jpg 96 99 128 101 125 126 99 146 128 145 
163134.jpg 93 102 132 101 111 125 92 141 132 142 
163135.jpg 94 101 131 101 111 129 100 143 126 142 
163136.jpg 91 102 134 102 111 126 91 140 134 140 
163137.jpg 91 102 134 103 109 125 93 140 133 140 
163138.jpg 91 102 134 102 110 130 92 140 132 140 
163139.jpg 92 102 133 102 120 127 95 142 130 140 
163140.jpg 94 102 131 100 112 123 95 142 128 144 
163141.jpg 94 101 131 101 112 127 101 142 124 143 
163142.jpg 92 101 132 102 111 119 95 141 131 141 
163143.jpg 92 102 133 102 117 129 95 141 129 140 
163144.jpg 89 99 133 106 101 131 101 138 129 141 
163145.jpg 96 101 129 99 107 111 96 145 127 144 
163146.jpg 95 102 131 100 113 116 95 145 127 141 
163147.jpg 94 101 131 101 111 124 98 144 127 142 
163148.jpg 91 102 134 102 106 130 91 140 134 141 
163149.jpg 93 102 132 101 114 125 91 142 133 141 
163150.jpg 93 101 132 102 111 123 92 141 133 142 
163151.jpg 94 101 131 101 116 125 95 143 129 142 
163152.jpg 94 101 131 101 117 118 98 142 127 143 
163153.jpg 95 102 131 100 114 130 97 143 126 143 
163154.jpg 97 103 130 98 136 127 92 145 129 143 
163155.jpg 93 101 132 102 112 125 94 143 131 141 
163156.jpg 93 100 131 102 117 124 97 142 129 143 
163157.jpg 91 102 133 102 112 129 90 141 135 140 
163158.jpg 92 100 132 103 124 118 96 142 131 141 
163159.jpg 94 101 131 101 113 120 96 143 128 144 
163160.jpg 94 102 132 100 105 121 98 143 126 142 
163161.jpg 92 101 133 102 103 127 92 140 134 142 
163162.jpg 95 101 131 100 107 124 96 144 128 143 
163163.jpg 96 99 128 100 123 122 101 144 125 146 
163164.jpg 94 100 130 101 113 129 98 144 127 143 
163165.jpg 94 100 131 102 103 128 95 141 131 144 
163166.jpg 93 102 132 101 114 120 98 141 126 143 
163167.jpg 91 101 133 103 109 127 94 141 133 140 
163168.jpg 92 102 133 102 105 126 94 140 131 143 
163169.jpg 92 101 132 102 116 116 98 141 128 142 
163170.jpg 94 100 131 101 115 122 99 142 127 144 
163171.jpg 94 101 131 101 112 127 94 142 130 143 
163172.jpg 94 101 131 101 110 120 96 143 128 143 
163173.jpg 93 101 132 101 120 128 95 143 130 141 
163174.jpg 93 102 132 101 114 127 93 142 131 142 
163175.jpg 94 100 130 102 112 130 98 143 129 144 
163176.jpg 94 101 131 101 118 124 92 143 133 142 
163177.jpg 93 101 131 102 116 126 96 141 130 143 
163178.jpg 92 102 133 101 109 130 92 141 132 142 
163179.jpg 95 100 130 101 102 125 97 142 130 145 
163180.jpg 95 99 129 101 102 129 98 142 129 145 
163181.jpg 95 100 130 101 113 116 96 143 129 144 
163182.jpg 93 102 132 101 113 120 95 141 129 143 
163183.jpg 94 103 132 100 119 126 93 144 129 141 
163184.jpg 92 102 133 101 113 130 92 142 132 140 
163185.jpg 92 102 133 102 110 127 95 141 130 141 
163186.jpg 94 100 131 101 120 122 99 143 126 143 
163187.jpg 94 101 131 101 107 131 94 142 131 143 
163188.jpg 93 101 132 101 114 122 98 141 127 142 
163189.jpg 94 101 131 101 111 123 98 142 127 143 
163190.jpg 92 102 133 102 112 126 94 140 130 142 
163191.jpg 92 102 133 102 110 125 90 141 135 141 
163192.jpg 92 101 132 102 114 116 97 142 128 141 
163193.jpg 95 97 128 102 92 129 96 142 133 148 
163194.jpg 91 102 134 102 112 130 94 141 131 140 
163195.jpg 92 102 133 102 115 128 95 141 130 141 
163196.jpg 93 103 133 100 119 127 91 143 131 140 
163197.jpg 94 102 132 101 108 129 98 142 126 143 
163198.jpg 92 102 133 102 114 126 94 141 131 141 
163199.jpg 95 101 130 100 110 118 96 144 127 144 
163200.jpg 92 103 134 101 121 127 92 141 131 139 
163201.jpg 95 101 130 100 121 123 99 145 125 142 
163202.jpg 95 101 130 100 111 124 97 144 128 143 
163203.jpg 96 100 129 100 113 124 99 143 125 146 
163204.jpg 94 99 130 102 105 130 98 143 130 143 
163205.jpg 92 101 132 102 115 115 97 142 129 140 
163206.jpg 95 100 130 101 108 128 97 143 128 144 
163207.jpg 92 102 133 102 115 123 97 142 128 140 
163208.jpg 94 100 130 102 126 115 92 141 135 145 
163209.jpg 93 101 132 101 111 125 95 142 130 142 
163210.jpg 94 101 131 101 110 129 93 143 132 142 
163211.jpg 93 101 132 101 112 125 96 142 129 142 
163212.jpg 92 102 133 102 110 129 95 141 130 141 
163213.jpg 93 101 132 102 122 121 92 142 133 142 
163214.jpg 94 102 132 100 104 121 95 143 127 142 
163215.jpg 92 101 132 102 105 128 98 141 128 142 
163216.jpg 94 101 131 101 122 124 99 144 126 142 
163217.jpg 94 102 131 100 108 121 98 142 125 143 
163218.jpg 97 100 128 99 127 122 95 145 129 146 
163219.jpg 96 101 130 99 129 128 90 146 133 142 
163220.jpg 94 100 131 101 112 125 92 143 133 142 
163221.jpg 95 100 130 101 127 120 99 144 127 144 
163222.jpg 93 102 132 101 111 125 96 143 128 141 
163223.jpg 91 102 134 102 111 127 92 140 132 141 
163224.jpg 95 101 131 100 106 125 96 144 128 143 
163225.jpg 93 101 132 102 113 131 94 141 132 142 
163226.jpg 96 100 129 100 111 124 100 144 124 145 
163227.jpg 91 101 133 102 111 126 93 140 133 141 
163228.jpg 94 101 131 101 117 128 98 142 127 144 
163229.jpg 93 101 132 102 123 121 96 142 129 141 
163230.jpg 94 100 131 101 99 124 96 144 130 142 
163231.jpg 94 101 131 101 110 125 93 143 132 142 
163232.jpg 95 103 132 99 109 114 93 144 129 141 
163233.jpg 92 102 133 102 113 125 92 141 132 141 
163234.jpg 94 100 131 101 118 125 98 143 128 143 
163235.jpg 93 101 131 101 106 125 95 143 130 142 
163236.jpg 93 101 132 102 106 125 95 140 131 143 
163237.jpg 95 100 130 100 102 128 98 143 126 144 
163238.jpg 94 101 131 100 110 126 99 142 125 144 
163239.jpg 93 101 132 102 111 128 96 142 130 142 
163240.jpg 93 101 132 101 118 130 92 143 132 142 
163241.jpg 93 102 133 101 114 123 91 141 133 142 
163242.jpg 97 98 127 100 127 116 101 147 126 145 
163243.jpg 93 101 132 101 112 120 99 142 125 142 
163244.jpg 94 101 132 101 117 127 95 143 130 142 
163245.jpg 93 102 132 101 117 127 97 143 128 141 
163246.jpg 92 101 133 102 110 123 89 141 136 142 
163247.jpg 94 101 131 101 110 122 99 141 126 144 
163248.jpg 94 102 132 100 106 123 96 142 127 143 
163249.jpg 93 101 132 102 111 126 93 144 132 139 
163250.jpg 97 100 129 99 105 126 96 145 129 145 
163251.jpg 95 103 132 99 123 130 91 144 130 141 
163252.jpg 93 101 132 101 115 126 99 142 126 142 
163253.jpg 93 101 132 101 111 126 94 142 130 141 
163254.jpg 94 101 131 101 110 126 97 142 128 143 
163255.jpg 94 101 131 101 117 124 95 141 130 144 
163256.jpg 94 101 131 101 101 124 97 142 129 143 
163257.jpg 93 101 132 101 116 125 95 141 129 142 
163258.jpg 94 101 131 101 110 123 94 143 131 142 
163259.jpg 93 100 132 102 117 124 94 140 132 143 
163260.jpg 92 102 133 102 116 123 89 141 135 141 
163261.jpg 90 102 135 103 113 125 92 139 133 140 
163262.jpg 95 100 130 100 107 129 96 144 129 144 
163263.jpg 94 100 130 101 104 126 99 143 126 143 
163264.jpg 95 100 130 101 103 124 96 141 130 146 
163265.jpg 91 103 134 102 114 129 90 140 134 140 
